sigma_between,condition,trial,gap_fraction,G_achieved,G_random,G_oracle
0.30,C_CN,24,0.750156,1.033613,0.863413,1.090300
0.30,C_PP,24,0.750156,1.033613,0.863413,1.090300
0.30,D,24,1.000000,1.090300,0.863413,1.090300
0.30,Z,25,0.266308,0.923835,0.863413,1.090300
0.30,A,25,0.750156,1.033613,0.863413,1.090300
0.30,C_CN,25,0.750156,1.033613,0.863413,1.090300
0.30,C_PP,25,0.750156,1.033613,0.863413,1.090300
0.30,D,25,1.000000,1.090300,0.863413,1.090300
0.30,Z,26,0.750156,1.033613,0.863413,1.090300
0.30,A,26,0.750156,1.033613,0.863413,1.090300
0.30,C_CN,26,0.750156,1.033613,0.863413,1.090300
0.30,C_PP,26,0.750156,1.033613,0.863413,1.090300
0.30,D,26,1.000000,1.090300,0.863413,1.090300
0.30,Z,27,0.000000,0.739057,0.863413,1.090300
0.30,A,27,0.750156,1.033613,0.863413,1.090300
0.30,C_CN,27,0.750156,1.033613,0.863413,1.090300
0.30,C_PP,27,0.750156,1.033613,0.863413,1.090300
0.30,D,27,1.000000,1.090300,0.863413,1.090300
0.30,Z,28,0.178667,0.903950,0.863413,1.090300
0.30,A,28,0.750156,1.033613,0.863413,1.090300
0.30,C_CN,28,0.750156,1.033613,0.863413,1.090300
0.30,C_PP,28,0.750156,1.033613,0.863413,1.090300
0.30,D,28,1.000000,1.090300,0.863413,1.090300
0.30,Z,29,0.000000,0.728170,0.863413,1.090300
0.30,A,29,0.750156,1.033613,0.863413,1.090300
0.30,C_CN,29,0.750156,1.033613,0.863413,1.090300
0.30,C_PP,29,0.750156,1.033613,0.863413,1.090300
0.30,D,29,1.000000,1.090300,0.863413,1.090300
0.45,Z,0,0.245593,0.913543,0.857627,1.085304
0.45,A,0,0.747551,1.027827,0.857627,1.085304
0.45,C_CN,0,0.747551,1.027827,0.857627,1.085304
0.45,C_PP,0,0.747551,1.027827,0.857627,1.085304
0.45,D,0,1.000000,1.085304,0.857627,1.085304
0.45,Z,1,0.747551,1.027827,0.857627,1.085304
