distribution,spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle,n_attacked_bundles
P5,centrist,C_CN,45,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_CN_ADV,45,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP,45,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP_ADV,45,0.278967,0.793695,0.728095,0.963249,4
P5,centrist,D,45,1.000000,0.963249,0.728095,0.963249,4
P5,centrist,Z,46,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,A,46,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,C_CN,46,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_CN_ADV,46,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP,46,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP_ADV,46,0.278967,0.793695,0.728095,0.963249,4
P5,centrist,D,46,1.000000,0.963249,0.728095,0.963249,4
P5,centrist,Z,47,0.211775,0.777894,0.728095,0.963249,3
P5,centrist,A,47,0.000000,0.582494,0.728095,0.963249,3
P5,centrist,C_CN,47,0.723781,0.898295,0.728095,0.963249,3
P5,centrist,C_CN_ADV,47,0.164772,0.766841,0.728095,0.963249,3
P5,centrist,C_PP,47,0.723781,0.898295,0.728095,0.963249,3
P5,centrist,C_PP_ADV,47,0.278967,0.793695,0.728095,0.963249,3
P5,centrist,D,47,1.000000,0.963249,0.728095,0.963249,3
P5,centrist,Z,48,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,A,48,0.000000,0.582494,0.728095,0.963249,4
P5,centrist,C_CN,48,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_CN_ADV,48,0.371722,0.815507,0.728095,0.963249,4
P5,centrist,C_PP,48,0.723781,0.898295,0.728095,0.963249,4
P5,centrist,C_PP_ADV,48,0.278967,0.793695,0.728095,0.963249,4
P5,centrist,D,48,1.000000,0.963249,0.728095,0.963249,4
P5,centrist,Z,49,0.285801,0.795302,0.728095,0.963249,5
P5,centrist,A,49,0.000000,0.582494,0.728095,0.963249,5
P5,centrist,C_CN,49,0.723781,0.898295,0.728095,0.963249,5
P5,centrist,C_CN_ADV,49,0.723781,0.898295,0.728095,0.963249,5
P5,centrist,C_PP,49,0.723781,0.898295,0.728095,0.963249,5
P5,centrist,C_PP_ADV,49,0.278967,0.793695,0.728095,0.963249,5
P5,centrist,D,49,1.000000,0.963249,0.728095,0.963249,5
P5,off_axis,Z,0,0.304824,0.777894,0.728095,0.891467,4
P5,off_axis,A,0,0.000000,0.582494,0.728095,0.891467,4
P5,off_axis,C_CN,0,0.735742,0.848295,0.728095,0.891467,4
P5,off_axis,C_CN_ADV,0,0.186699,0.758596,0.728095,0.891467,4
P5,off_axis,C_PP,0,0.735742,0.848295,0.728095,0.891467,4
P5,off_axis,C_PP_ADV,0,0.401537,0.793695,0.728095,0.891467,4
P5,off_axis,D,0,1.000000,0.891467,0.728095,0.891467,4
P5,off_axis,Z,1,0.304824,0.777894,0.728095,0.891467,4
P5,off_axis,A,1,0.000000,0.582494,0.728095,0.891467,4
P5,off_axis,C_CN,1,0.735742,0.848295,0.728095,0.891467,4
P5,off_axis,C_CN_ADV,1,0.108755,0.745862,0.728095,0.891467,4
P5,off_axis,C_PP,1,0.735742,0.848295,0.728095,0.891467,4
P5,off_axis,C_PP_ADV,1,0.401537,0.793695,0.728095,0.891467,4
P5,off_axis,D,1,1.000000,0.891467,0.728095,0.891467,4
P5,off_axis,Z,2,0.000000,0.706035,0.728095,0.891467,4
P5,off_axis,A,2,0.000000,0.582494,0.728095,0.891467,4
P5,off_axis,C_CN,2,0.735742,0.848295,0.728095,0.891467,4
P5,off_axis,C_CN_ADV,2,0.005469,0.728988,0.728095,0.891467,4
P5,off_axis,C_PP,2,0.735742,0.848295,0.728095,0.891467,4
P5,off_axis,C_PP_ADV,2,0.401537,0.793695,0.728095,0.891467,4
P5,off_axis,D,2,1.000000,0.891467,0.728095,0.891467,4
P5,off_axis,Z,3,0.114379,0.746781,0.728095,0.891467,5
P5,off_axis,A,3,0.000000,0.582494,0.728095,0.891467,5
P5,off_axis,C_CN,3,0.735742,0.848295,0.728095,0.891467,5
P5,off_axis,C_CN_ADV,3,0.735742,0.848295,0.728095,0.891467,5
P5,off_axis,C_PP,3,0.735742,0.848295,0.728095,0.891467,5
P5,off_axis,C_PP_ADV,3,0.401537,0.793695,0.728095,0.891467,5
P5,off_axis,D,3,1.000000,0.891467,0.728095,0.891467,5
P5,off_axis,Z,4,0.304824,0.777894,0.728095,0.891467,3
P5,off_axis,A,4,0.000000,0.582494,0.728095,0.891467,3
P5,off_axis,C_CN,4,0.735742,0.848295,0.728095,0.891467,3
