K,slate_type,spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle
5,archetype,centrist,C_CN,39,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,39,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,39,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,40,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,A,40,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,40,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,40,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,40,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,41,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,A,41,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,41,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,41,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,41,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,42,0.000000,0.688188,0.829481,1.057498
5,archetype,centrist,A,42,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,42,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,42,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,42,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,43,0.000000,0.688188,0.829481,1.057498
5,archetype,centrist,A,43,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,43,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,43,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,43,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,44,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,A,44,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,44,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,44,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,44,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,45,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,A,45,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,45,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,45,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,45,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,46,0.000000,0.688188,0.829481,1.057498
5,archetype,centrist,A,46,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,46,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,46,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,46,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,47,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,A,47,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,47,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,47,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,47,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,48,0.000000,0.711174,0.829481,1.057498
5,archetype,centrist,A,48,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,48,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,48,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,48,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,49,0.000000,0.688188,0.829481,1.057498
5,archetype,centrist,A,49,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,49,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,49,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,49,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,50,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,A,50,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,50,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,50,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,50,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,51,0.227848,0.881434,0.829481,1.057498
5,archetype,centrist,A,51,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,51,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,51,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,51,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,52,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,A,52,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,52,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,C_PP,52,0.746434,0.999681,0.829481,1.057498
5,archetype,centrist,D,52,1.000000,1.057498,0.829481,1.057498
5,archetype,centrist,Z,53,0.000000,0.711174,0.829481,1.057498
5,archetype,centrist,A,53,0.278253,0.892928,0.829481,1.057498
5,archetype,centrist,C_CN,53,0.746434,0.999681,0.829481,1.057498
