spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle,n_llm_calls,cache_hit_rate
off_axis,C_CN,8,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,9,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,9,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,10,0.000000,0.836047,0.840460,0.973362,0,1.0000
off_axis,C_CN,10,0.000000,0.836047,0.840460,0.973362,0,1.0000
off_axis,A,11,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,11,0.000000,0.694519,0.840460,0.973362,0,1.0000
off_axis,A,12,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,12,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,13,0.537580,0.911905,0.840460,0.973362,0,1.0000
off_axis,C_CN,13,0.537580,0.911905,0.840460,0.973362,0,1.0000
off_axis,A,14,0.421438,0.896470,0.840460,0.973362,0,1.0000
off_axis,C_CN,14,0.421438,0.896470,0.840460,0.973362,0,1.0000
off_axis,A,15,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,15,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,16,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,16,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,17,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,17,0.166886,0.862639,0.840460,0.973362,0,1.0000
off_axis,A,18,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,18,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,19,0.000000,0.831440,0.840460,0.973362,0,1.0000
off_axis,C_CN,19,0.000000,0.694519,0.840460,0.973362,0,1.0000
off_axis,A,20,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,20,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,21,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,21,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,22,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,22,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,23,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,23,0.000000,0.694519,0.840460,0.973362,0,1.0000
off_axis,A,24,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,24,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,25,0.007330,0.841434,0.840460,0.973362,0,1.0000
off_axis,C_CN,25,0.007330,0.841434,0.840460,0.973362,0,1.0000
off_axis,A,26,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,26,0.000000,0.694519,0.840460,0.973362,0,1.0000
off_axis,A,27,0.699661,0.933446,0.840460,0.973362,0,1.0000
off_axis,C_CN,27,0.699661,0.933446,0.840460,0.973362,0,1.0000
off_axis,A,28,0.298181,0.880089,0.840460,0.973362,0,1.0000
off_axis,C_CN,28,0.298181,0.880089,0.840460,0.973362,0,1.0000
off_axis,A,29,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,29,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,30,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,30,0.000000,0.694519,0.840460,0.973362,0,1.0000
off_axis,A,31,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,31,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,32,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,32,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,33,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,33,0.000000,0.694519,0.840460,0.973362,0,1.0000
off_axis,A,34,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,34,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,35,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,35,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,36,0.000000,0.802244,0.840460,0.973362,0,1.0000
off_axis,C_CN,36,0.000000,0.802244,0.840460,0.973362,0,1.0000
off_axis,A,37,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,37,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,38,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,38,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,39,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,39,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,40,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,40,0.000000,0.694519,0.840460,0.973362,0,1.0000
off_axis,A,41,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,41,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,42,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,42,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,43,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,43,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,44,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,44,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,45,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,45,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,46,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,46,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,47,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,47,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,48,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,48,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,A,49,0.373429,0.890089,0.840460,0.973362,0,1.0000
off_axis,C_CN,49,0.373429,0.890089,0.840460,0.973362,0,1.0000
