dist_id,dist_label,spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle,minority_welfare
P1,unimodal,centrist,A,26,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,26,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,26,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,26,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,27,0.000000,0.687678,0.832914,1.058737,0.363114
P1,unimodal,centrist,A,27,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,27,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,27,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,27,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,28,0.289687,0.898332,0.832914,1.058737,0.692773
P1,unimodal,centrist,A,28,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,28,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,28,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,28,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,29,0.000000,0.718550,0.832914,1.058737,0.353534
P1,unimodal,centrist,A,29,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,29,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,29,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,D,29,1.000000,1.058737,0.832914,1.058737,0.858528
P1,unimodal,centrist,Z,30,0.000000,0.687678,0.832914,1.058737,0.363114
P1,unimodal,centrist,A,30,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_CN,30,0.753688,1.003114,0.832914,1.058737,0.876819
P1,unimodal,centrist,C_PP,30,0.753688,1.003114,0.832914,1.058737,0.876819
