spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle
off_axis,A,32,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,32,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,32,0.904424,0.960660,0.840460,0.973362
off_axis,D,32,1.000000,0.973362,0.840460,0.973362
off_axis,Z,33,0.000000,0.694519,0.840460,0.973362
off_axis,A,33,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,33,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,33,0.904424,0.960660,0.840460,0.973362
off_axis,D,33,1.000000,0.973362,0.840460,0.973362
off_axis,Z,34,0.000000,0.694519,0.840460,0.973362
off_axis,A,34,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,34,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,34,0.904424,0.960660,0.840460,0.973362
off_axis,D,34,1.000000,0.973362,0.840460,0.973362
off_axis,Z,35,0.000000,0.694519,0.840460,0.973362
off_axis,A,35,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,35,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,35,0.904424,0.960660,0.840460,0.973362
off_axis,D,35,1.000000,0.973362,0.840460,0.973362
off_axis,Z,36,0.904424,0.960660,0.840460,0.973362
off_axis,A,36,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,36,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,36,0.904424,0.960660,0.840460,0.973362
off_axis,D,36,1.000000,0.973362,0.840460,0.973362
off_axis,Z,37,0.000000,0.803488,0.840460,0.973362
off_axis,A,37,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,37,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,37,0.904424,0.960660,0.840460,0.973362
off_axis,D,37,1.000000,0.973362,0.840460,0.973362
off_axis,Z,38,0.000000,0.809819,0.840460,0.973362
off_axis,A,38,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,38,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,38,0.904424,0.960660,0.840460,0.973362
off_axis,D,38,1.000000,0.973362,0.840460,0.973362
off_axis,Z,39,0.494878,0.906230,0.840460,0.973362
off_axis,A,39,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,39,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,39,0.904424,0.960660,0.840460,0.973362
off_axis,D,39,1.000000,0.973362,0.840460,0.973362
off_axis,Z,40,0.373429,0.890089,0.840460,0.973362
off_axis,A,40,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,40,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,40,0.904424,0.960660,0.840460,0.973362
off_axis,D,40,1.000000,0.973362,0.840460,0.973362
off_axis,Z,41,0.373429,0.890089,0.840460,0.973362
off_axis,A,41,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,41,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,41,0.904424,0.960660,0.840460,0.973362
off_axis,D,41,1.000000,0.973362,0.840460,0.973362
off_axis,Z,42,0.000000,0.837055,0.840460,0.973362
off_axis,A,42,0.494878,0.906230,0.840460,0.973362
off_axis,C_CN,42,0.904424,0.960660,0.840460,0.973362
off_axis,C_PP,42,0.904424,0.960660,0.840460,0.973362
