spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle,n_attacked_bundles
centrist,A,27,0.278253,0.892928,0.829481,1.057498,3
centrist,C_CN,27,0.746434,0.999681,0.829481,1.057498,3
centrist,C_CN_ADV,27,0.278253,0.892928,0.829481,1.057498,3
centrist,C_PP,27,0.746434,0.999681,0.829481,1.057498,3
centrist,C_PP_ADV,27,0.278253,0.892928,0.829481,1.057498,3
centrist,D,27,1.000000,1.057498,0.829481,1.057498,3
centrist,Z,28,0.307988,0.899708,0.829481,1.057498,4
centrist,A,28,0.278253,0.892928,0.829481,1.057498,4
centrist,C_CN,28,0.746434,0.999681,0.829481,1.057498,4
centrist,C_CN_ADV,28,0.278253,0.892928,0.829481,1.057498,4
centrist,C_PP,28,0.746434,0.999681,0.829481,1.057498,4
centrist,C_PP_ADV,28,0.278253,0.892928,0.829481,1.057498,4
centrist,D,28,1.000000,1.057498,0.829481,1.057498,4
centrist,Z,29,0.000000,0.750301,0.829481,1.057498,3
centrist,A,29,0.278253,0.892928,0.829481,1.057498,3
centrist,C_CN,29,0.746434,0.999681,0.829481,1.057498,3
centrist,C_CN_ADV,29,0.278253,0.892928,0.829481,1.057498,3
centrist,C_PP,29,0.746434,0.999681,0.829481,1.057498,3
centrist,C_PP_ADV,29,0.227848,0.881434,0.829481,1.057498,3
centrist,D,29,1.000000,1.057498,0.829481,1.057498,3
centrist,Z,30,0.000000,0.805804,0.829481,1.057498,4
centrist,A,30,0.278253,0.892928,0.829481,1.057498,4
centrist,C_CN,30,0.746434,0.999681,0.829481,1.057498,4
centrist,C_CN_ADV,30,0.278253,0.892928,0.829481,1.057498,4
centrist,C_PP,30,0.746434,0.999681,0.829481,1.057498,4
centrist,C_PP_ADV,30,0.278253,0.892928,0.829481,1.057498,4
centrist,D,30,1.000000,1.057498,0.829481,1.057498,4
centrist,Z,31,0.000000,0.711174,0.829481,1.057498,4
centrist,A,31,0.746434,0.999681,0.829481,1.057498,4
centrist,C_CN,31,0.746434,0.999681,0.829481,1.057498,4
centrist,C_CN_ADV,31,0.109377,0.854421,0.829481,1.057498,4
centrist,C_PP,31,0.746434,0.999681,0.829481,1.057498,4
centrist,C_PP_ADV,31,0.227848,0.881434,0.829481,1.057498,4
centrist,D,31,1.000000,1.057498,0.829481,1.057498,4
centrist,Z,32,0.161935,0.866405,0.829481,1.057498,5
centrist,A,32,0.278253,0.892928,0.829481,1.057498,5
centrist,C_CN,32,0.746434,0.999681,0.829481,1.057498,5
centrist,C_CN_ADV,32,0.278253,0.892928,0.829481,1.057498,5
centrist,C_PP,32,0.746434,0.999681,0.829481,1.057498,5
centrist,C_PP_ADV,32,0.227848,0.881434,0.829481,1.057498,5
centrist,D,32,1.000000,1.057498,0.829481,1.057498,5
centrist,Z,33,0.000000,0.711174,0.829481,1.057498,4
centrist,A,33,0.278253,0.892928,0.829481,1.057498,4
centrist,C_CN,33,0.746434,0.999681,0.829481,1.057498,4
centrist,C_CN_ADV,33,0.278253,0.892928,0.829481,1.057498,4
centrist,C_PP,33,0.746434,0.999681,0.829481,1.057498,4
centrist,C_PP_ADV,33,0.227848,0.881434,0.829481,1.057498,4
centrist,D,33,1.000000,1.057498,0.829481,1.057498,4
centrist,Z,34,0.000000,0.801032,0.829481,1.057498,5
centrist,A,34,0.278253,0.892928,0.829481,1.057498,5
centrist,C_CN,34,0.746434,0.999681,0.829481,1.057498,5
centrist,C_CN_ADV,34,0.278253,0.892928,0.829481,1.057498,5
centrist,C_PP,34,0.746434,0.999681,0.829481,1.057498,5
centrist,C_PP_ADV,34,0.227848,0.881434,0.829481,1.057498,5
centrist,D,34,1.000000,1.057498,0.829481,1.057498,5
centrist,Z,35,0.746434,0.999681,0.829481,1.057498,5
centrist,A,35,0.278253,0.892928,0.829481,1.057498,5
centrist,C_CN,35,0.746434,0.999681,0.829481,1.057498,5
centrist,C_CN_ADV,35,0.278253,0.892928,0.829481,1.057498,5
centrist,C_PP,35,0.746434,0.999681,0.829481,1.057498,5
centrist,C_PP_ADV,35,0.227848,0.881434,0.829481,1.057498,5
centrist,D,35,1.000000,1.057498,0.829481,1.057498,5
centrist,Z,36,0.000000,0.688188,0.829481,1.057498,5
centrist,A,36,0.278253,0.892928,0.829481,1.057498,5
centrist,C_CN,36,0.746434,0.999681,0.829481,1.057498,5
centrist,C_CN_ADV,36,0.278253,0.892928,0.829481,1.057498,5
centrist,C_PP,36,0.746434,0.999681,0.829481,1.057498,5
centrist,C_PP_ADV,36,0.227848,0.881434,0.829481,1.057498,5
centrist,D,36,1.000000,1.057498,0.829481,1.057498,5
centrist,Z,37,0.000000,0.711174,0.829481,1.057498,4
centrist,A,37,0.278253,0.892928,0.829481,1.057498,4
centrist,C_CN,37,0.746434,0.999681,0.829481,1.057498,4
centrist,C_CN_ADV,37,0.278253,0.892928,0.829481,1.057498,4
centrist,C_PP,37,0.746434,0.999681,0.829481,1.057498,4
centrist,C_PP_ADV,37,0.278253,0.892928,0.829481,1.057498,4
centrist,D,37,1.000000,1.057498,0.829481,1.057498,4
centrist,Z,38,0.746434,0.999681,0.829481,1.057498,4
centrist,A,38,0.278253,0.892928,0.829481,1.057498,4
