date,ticker,open,high,low,close
2025-01-23,PEP,140.0463,140.4708,138.2732,140.1689
2025-01-23,PFE,23.468,23.8921,23.3237,23.856
2025-01-23,PG,157.3513,159.8477,156.8136,159.5308
2025-01-23,SPY,597.1377,601.0312,596.8618,601.0312
2025-01-23,TSLA,416.06,420.73,408.95,412.38
2025-01-23,UNH,511.2085,514.7045,502.9284,513.0485
2025-01-23,V,320.1514,324.8485,319.9636,324.5518
2025-01-23,WMT,91.715,92.5536,91.0836,92.5536
2025-01-23,XOM,104.9877,105.7776,104.3214,104.8354
2025-01-24,AAPL,223.353,224.1976,220.0044,221.3657
2025-01-24,AMD,124.55,125.25,122.23,122.84
2025-01-24,AMZN,234.5,236.4,232.93,234.85
2025-01-24,BAC,44.6973,45.3064,44.6199,44.9777
2025-01-24,COST,934.6343,938.4833,926.103,932.1741
2025-01-24,CSCO,60.2614,60.4847,60.0672,60.4264
2025-01-24,CVX,146.7358,147.683,145.6197,145.9761
2025-01-24,DIS,109.9441,112.1497,109.4199,110.9332
2025-01-24,GOOGL,197.0707,199.8561,196.9712,199.1697
2025-01-24,GS,611.4729,621.7612,610.4635,618.17
2025-01-24,HD,398.3463,399.2314,395.143,398.7408
2025-01-24,INTC,21.36,21.41,20.75,20.83
2025-01-24,JNJ,140.886,141.6729,140.4734,140.8956
2025-01-24,JPM,257.0761,260.4006,256.4132,258.1973
2025-01-24,KO,59.5418,59.8216,59.2717,59.7348
2025-01-24,MA,529.0211,532.0682,528.1873,529.5173
2025-01-24,MCD,274.6182,276.8768,273.431,275.5352
2025-01-24,META,633.8569,649.3945,631.6657,644.9025
2025-01-24,MRK,92.5972,92.8938,91.277,91.411
2025-01-24,MSFT,439.941,441.4135,436.2251,438.8539
2025-01-24,NFLX,98.441,98.628,96.768,97.759
2025-01-24,NVDA,148.1487,148.7478,141.6684,142.4073
2025-01-24,PEP,140.3576,140.8197,139.7068,140.6405
2025-01-24,PFE,23.8652,24.0303,23.8101,23.9294
2025-01-24,PG,160.2717,160.2717,157.6538,158.5426
2025-01-24,SPY,601.0904,602.0466,598.1234,599.2767
2025-01-24,TSLA,414.45,418.88,405.78,406.58
2025-01-24,UNH,511.4409,517.7551,507.9545,515.702
2025-01-24,V,324.3639,327.3997,324.1563,326.5197
2025-01-24,WMT,92.2872,93.7375,92.2083,93.4909
