condition,persona_config,adversarial,seed,winner,alliance_win,turns,vp_p1,vp_p2,vp_p3,vp_p4
b,sym_conservative,False,22,P3,False,39,4,4,7,2
b,sym_conservative,False,23,P3,False,87,6,2,7,6
b,sym_conservative,False,24,P1,True,25,7,2,4,3
b,sym_conservative,False,25,P1,True,53,7,2,5,5
b,sym_conservative,False,26,P1,True,29,7,3,2,6
b,sym_conservative,False,27,P4,False,44,2,2,6,7
b,sym_conservative,False,28,P3,False,51,2,6,7,5
b,sym_conservative,False,29,P4,False,64,5,3,6,7
b,default,True,0,P3,False,35,5,3,7,4
b,default,True,1,P1,True,33,7,3,4,3
b,default,True,2,P2,True,82,4,7,4,4
b,default,True,3,P4,False,32,2,2,2,7
b,default,True,4,P1,True,61,7,2,6,5
b,default,True,5,P3,False,79,4,5,7,5
b,default,True,6,P3,False,51,5,3,7,5
b,default,True,7,P3,False,59,5,2,7,3
b,default,True,8,P1,True,85,7,3,4,4
b,default,True,9,P2,True,74,6,7,5,6
b,default,True,10,P4,False,48,3,3,5,7
b,default,True,11,P4,False,60,2,5,6,7
b,default,True,12,P3,False,35,4,3,7,3
b,default,True,13,P3,False,83,5,3,7,6
b,default,True,14,P3,False,47,5,2,7,5
b,default,True,15,P4,False,56,6,3,5,7
b,default,True,16,P4,False,44,6,3,5,7
b,default,True,17,P4,False,52,4,3,6,7
b,default,True,18,P1,True,41,7,2,3,4
b,default,True,19,P4,False,44,2,3,3,7
b,default,True,20,P1,True,65,7,2,3,2
b,default,True,21,P1,True,77,7,3,6,4
b,default,True,22,P4,False,40,3,3,3,7
b,default,True,23,P3,False,67,5,2,7,5
b,default,True,24,P4,False,36,4,2,3,7
b,default,True,25,P3,False,43,4,2,7,4
b,default,True,26,P3,False,51,5,2,7,6
b,default,True,27,P4,False,64,3,5,5,7
b,default,True,28,P3,False,63,3,3,7,5
b,default,True,29,P1,True,33,7,2,6,2
b,sym_aggressive,True,0,P3,False,51,6,2,7,3
b,sym_aggressive,True,1,P4,False,56,6,2,6,7
b,sym_aggressive,True,2,P3,False,39,3,3,7,5
b,sym_aggressive,True,3,P1,True,53,7,3,5,5
b,sym_aggressive,True,4,P4,False,24,6,3,5,7
b,sym_aggressive,True,5,P1,True,17,7,2,3,3
